plant,genotype
M23,IL_4.4
E10,IL_6.2
E34,IL_2.5
K13,IL_11.4
J6,IL_12.3
T28,IL_10.3
Q34,IL_7.3
B2,IL_8.1.1
F25,m82
R15,IL_10.1
N8,IL_1.2
I39,IL_11.1
T21,IL_6.1
L24,IL_3.1
N11,IL_6.1
A40,IL_4.1.1
T18,IL_3.4
D24,IL_7.2
O12,IL_12.3.1
H40,IL_7.5.5
A23,IL_8.2
F10,IL_9.2.5
L40,IL_8.3.1
I30,IL_9.1.2
B14,IL_2.4
A35,IL_8.3.1
C31,IL_9.3
A12,IL_1.4.18
D14,IL_11.3
G14,IL_10.1.1
D18,IL_8.1.1
B11,IL_10.2.2
H21,IL_2.5
Q18,IL_12.4.1
S36,IL_5.4
D2,IL_8.3.1
J29,IL_3.5
M1,IL_1.4.18
G11,IL_7.3
H7,IL_1.4
J34,IL_3.4
H14,IL_2.6
R25,IL_2.6
L16,IL_1.4
L18,IL_9.3.2
B9,IL_12.1.1
N16,IL_5.4
J33,IL_10.1
E31,IL_7.2
M37,IL_3.5
J32,IL_12.1.1
C7,IL_7.5.5
Q13,IL_6.1
K22,IL_8.2.1
I1,IL_3.1
B30,IL_9.2.6
I24,IL_1.3
T24,IL_2.3
A30,IL_7.5.5
L37,IL_4.2
Q19,IL_4.4
F31,IL_11.3
L22,IL_12.3
P23,IL_9.2.6
B5,IL_7.2
I25,IL_4.3.2
A16,IL_12.4
C17,IL_8.2.1
N12,IL_9.2.6
K30,IL_12.2
M11,IL_2.1
I26,IL_5.5
O30,IL_3.5
I11,IL_4.1
F6,IL_2.4
T4,IL_12.1
O13,IL_10.1
L8,IL_8.1.5
G33,IL_1.3
O11,IL_7.3
D27,IL_1.2
S6,IL_8.1
D15,IL_8.1.5
H35,IL_11.4
B10,IL_8.2.1
E24,IL_11.4
B31,IL_2.5
H26,IL_9.1.3
N13,IL_3.3
O35,IL_7.5.5
N34,IL_7.4.1
I10,IL_3.3
J9,IL_9.3
K39,IL_2.3
L12,IL_9.1.3
N27,IL_4.3.2
E27,IL_12.3
C15,IL_9.3.2
L11,IL_4.3
P15,IL_1.4.18
P7,IL_8.3.1
Q32,IL_6.4
R22,IL_9.2.5
E1,IL_1.2
Q27,IL_9.2.6
H33,IL_2.6.5
C1,IL_2.3
B29,IL_11.4
B20,IL_9.2.5
S16,IL_10.1
P32,IL_4.3.2
A39,m82
D34,IL_1.1.2
M33,IL_12.3.1
R19,IL_9.1.2
G24,IL_4.2
G29,IL_2.2
L6,IL_9.2.6
T38,IL_7.5
N31,IL_8.1
K8,IL_9.3
M16,IL_5.2
T10,IL_11.4.1
E25,IL_3.1
O4,IL_12.4
M2,IL_7.5
B4,IL_1.1.3
J37,IL_10.2
Q4,IL_11.2
P40,IL_8.3
D21,IL_3.4
F27,IL_3.3
F33,IL_8.1.5
A7,IL_8.1
P19,IL_3.4
N32,IL_8.3.1
R8,IL_2.2
P21,IL_10.1.1
C19,IL_11.1
E35,IL_10.3
K3,IL_11.4.1
A11,IL_10.2
L7,IL_6.4
N3,IL_11.4.1
L17,m82
B27,IL_9.1
B28,IL_4.4
O27,IL_9.2.5
J26,IL_1.2
O18,IL_12.2
R3,IL_7.4.1
F35,IL_12.2
B22,IL_2.1
A37,IL_10.3
E7,IL_2.2
C29,IL_12.3.1
L34,IL_7.5.5
H29,IL_8.3.1
I17,IL_7.3
M22,IL_11.2
R14,IL_7.5
L30,m82
I5,IL_12.2
N37,IL_12.4.1
I29,IL_9.2
A27,IL_8.3
M21,IL_2.6.5
D31,IL_6.3
T7,IL_10.2.2
A33,IL_4.1
H18,IL_7.2
R29,IL_1.1
S22,IL_7.3
S29,IL_9.2.6
E8,IL_3.4
Q26,IL_8.3.1
P14,IL_11.4.1
I34,IL_8.1
S26,IL_6.2
P22,IL_5.2
D13,IL_2.5
C4,IL_4.3.2
C10,IL_5.5
I12,IL_8.3
B1,IL_9.3.2
J5,IL_6.1
B16,IL_7.5
I27,IL_4.1.1
Q20,IL_1.4
K24,IL_4.1.1
Q37,IL_8.1.5
P25,IL_8.1
A13,IL_1.2
T37,IL_4.1
K5,IL_8.1
O2,IL_8.2.1
H13,IL_9.3.2
P29,IL_3.1
B26,IL_7.3
B35,IL_6.1
D22,IL_10.2.2
F1,IL_10.1.1
F16,IL_11.4.1
L27,IL_7.4.1
R2,IL_12.1
H23,m82
J20,IL_2.6.5
P31,IL_4.1
R18,IL_7.5.5
B21,IL_11.3
J11,IL_7.4.1
D20,IL_6.1
G37,IL_8.3
D35,IL_6.2
H37,IL_12.2
T27,m82
H30,IL_8.2.1
E18,IL_4.4
G9,IL_9.2.6
R17,IL_5.2
T23,IL_9.1
B7,IL_8.1.5
F14,IL_12.4
B38,IL_9.3
O23,IL_12.1
F19,IL_10.1
F38,IL_8.2
N5,IL_1.1.2
H38,IL_4.1
K11,IL_1.4.18
F8,IL_12.4.1
I31,IL_6.3
J18,IL_7.1
